date,open,close,high,low,volume
2019-01-02,8.4,8.41,8.52,8.38,21011.0
2019-01-03,8.4,8.42,8.56,8.37,20283.0
2019-01-04,8.2,8.54,8.55,8.16,28979.0
2019-01-07,8.65,8.58,8.66,8.54,27667.0
2019-01-08,8.58,8.56,8.62,8.51,16034.0
2019-01-09,8.6,8.64,8.78,8.53,40465.0
2019-01-10,8.57,8.47,8.65,8.41,38157.0
2019-01-11,8.42,8.49,8.53,8.41,25125.0
2019-01-14,8.47,8.38,8.5,8.35,18824.0
2019-01-15,8.4,8.47,8.48,8.32,19905.0
2019-01-16,8.43,8.4,8.49,8.39,16817.0
2019-01-17,8.4,8.33,8.46,8.32,13771.0
2019-01-18,8.4,8.44,8.44,8.33,24587.0
2019-01-21,8.48,8.5,8.55,8.42,26192.0
2019-01-22,8.5,8.3,8.5,8.3,23160.0
2019-01-23,8.3,8.29,8.33,8.2,19394.0
2019-01-24,8.3,8.28,8.37,8.24,16800.0
2019-01-25,8.26,8.25,8.32,8.23,16550.0
2019-01-28,8.31,8.24,8.38,8.2,19210.0
2019-01-29,8.2,8.0,8.25,7.77,36739.0
2019-01-30,7.99,7.9,8.09,7.88,14497.0
2019-01-31,7.95,7.87,8.03,7.82,15875.0
2019-02-01,7.95,8.12,8.18,7.91,22830.0
2019-02-11,8.18,8.46,8.5,8.15,33619.0
2019-02-12,8.46,8.62,8.72,8.42,50697.0
2019-02-13,8.67,8.66,8.69,8.58,44916.0
2019-02-14,8.61,8.65,8.74,8.59,37131.0
2019-02-15,8.67,8.65,8.76,8.64,32350.0
2019-02-18,8.65,8.9,8.93,8.65,52454.0
2019-02-19,8.92,8.82,9.18,8.77,66543.0
2019-02-20,8.83,8.78,8.88,8.68,44499.0
2019-02-21,8.84,8.72,8.91,8.65,56573.0
2019-02-22,8.71,8.83,8.85,8.6,44154.0
2019-02-25,8.84,9.24,9.25,8.84,116074.0
2019-02-26,9.4,10.0,10.19,9.33,277065.0
2019-02-27,10.02,9.71,10.09,9.57,230145.0
2019-02-28,9.81,9.81,9.95,9.7,111843.0
2019-03-01,9.89,9.79,9.92,9.63,75364.0
2019-03-04,10.2,9.91,10.2,9.85,134626.0
2019-03-05,9.79,9.97,9.98,9.73,110602.0
2019-03-06,9.99,10.45,10.69,9.88,217319.0
2019-03-07,10.62,10.49,10.81,10.26,169393.0
2019-03-08,10.29,9.89,10.4,9.85,142831.0
2019-03-11,9.89,10.3,10.31,9.89,100791.0
2019-03-12,10.31,10.31,10.59,10.14,127453.0
2019-03-13,10.31,10.28,10.5,10.13,125502.0
2019-03-14,10.14,9.93,10.35,9.84,102559.0
2019-03-15,9.94,10.01,10.18,9.91,71024.0
2019-03-18,9.59,10.02,10.08,9.5,167873.0
2019-03-19,10.0,10.08,10.38,9.92,119380.0
2019-03-20,10.03,9.96,10.03,9.79,92394.0
2019-03-21,9.94,10.18,10.29,9.9,124491.0
2019-03-22,10.12,10.18,10.19,9.93,90878.0
2019-03-25,9.91,9.99,10.19,9.88,77988.0
2019-03-26,10.02,9.75,10.15,9.7,85410.0
2019-03-27,9.84,10.52,10.58,9.76,215195.0
2019-03-28,10.45,10.12,10.45,10.09,149974.0
2019-03-29,10.09,10.29,10.35,9.85,136691.0
2019-04-01,10.26,10.9,11.1,10.25,272571.0
2019-04-02,10.8,11.18,11.44,10.75,287741.0
2019-04-03,11.0,11.11,11.2,10.95,146013.0
2019-04-04,11.11,11.08,11.42,10.99,145409.0
2019-04-08,11.06,10.94,11.22,10.79,159188.0
2019-04-09,10.83,11.44,11.46,10.83,203427.0
2019-04-10,11.44,11.35,11.75,11.27,213202.0
2019-04-11,11.37,11.55,11.55,11.1,160294.0
2019-04-12,11.42,11.68,11.83,11.26,168817.0
2019-04-15,11.93,11.55,11.97,11.53,137690.0
2019-04-16,11.6,11.61,11.78,11.27,128719.0
2019-04-17,11.58,12.8,12.8,11.58,298124.0
2019-04-18,13.21,12.98,13.9,12.81,383226.0
2019-04-19,12.81,12.85,13.3,12.55,222080.0
2019-04-22,12.79,11.98,12.79,11.9,253646.0
2019-04-23,12.04,11.48,12.06,11.44,192718.0
2019-04-24,11.54,11.66,12.05,11.31,149446.0
2019-04-25,11.6,11.11,11.92,11.08,155260.0
2019-04-26,11.01,11.03,11.29,10.93,102853.0
2019-04-29,11.04,10.82,11.28,10.51,120250.0
2019-04-30,10.77,10.94,11.04,10.69,66351.0
2019-05-06,10.56,9.82,10.56,9.82,153229.0
2019-05-07,9.82,9.99,10.13,9.74,90227.0
2019-05-08,9.7,10.32,10.67,9.7,126703.0
2019-05-09,10.11,10.35,10.61,10.11,86800.0
2019-05-10,10.45,10.86,10.9,10.19,113308.0
2019-05-13,10.88,10.89,11.17,10.71,93261.0
2019-05-14,10.71,10.75,11.0,10.71,69301.0
2019-05-15,10.89,10.89,10.99,10.73,77740.0
2019-05-16,10.88,11.13,11.2,10.87,88166.0
2019-05-17,11.1,11.2,11.58,10.97,131984.0
2019-05-20,11.06,11.65,11.66,10.76,125608.0
2019-05-21,11.59,11.62,11.88,11.39,116775.0
2019-05-22,11.62,11.4,11.68,11.21,82619.0
